,Unnamed: 0,Latest: Time (s),Latest: Pressure (kPa)
275,275,0.6875,102.120762855
276,276,0.69,102.120762855
277,277,0.6925,102.180695079
278,278,0.695,102.180695079
279,279,0.6975,102.180695079
280,280,0.7,102.180695079
281,281,0.7025,102.180695079
282,282,0.705,102.180695079
283,283,0.7075,102.180695079
284,284,0.71,102.120762855
285,285,0.7125,102.180695079
286,286,0.715,102.180695079
287,287,0.7175,102.180695079
288,288,0.72,102.180695079
289,289,0.7225,102.180695079
290,290,0.725,102.120762855
291,291,0.7275,102.180695079
292,292,0.73,102.180695079
293,293,0.7325,102.180695079
294,294,0.735,102.180695079
295,295,0.7375,102.180695079
296,296,0.74,102.120762855
297,297,0.7425,102.180695079
298,298,0.745,102.180695079
299,299,0.7475,102.180695079
300,300,0.75,102.120762855
301,301,0.7525,102.180695079
302,302,0.755,102.180695079
303,303,0.7575,102.180695079
304,304,0.76,102.180695079
305,305,0.7625,102.180695079
306,306,0.765,102.180695079
307,307,0.7675,102.180695079
308,308,0.77,102.180695079
309,309,0.7725,102.120762855
310,310,0.775,102.180695079
311,311,0.7775,102.180695079
312,312,0.78,102.120762855
313,313,0.7825,102.120762855
314,314,0.785,102.180695079
315,315,0.7875,102.120762855
316,316,0.79,102.120762855
317,317,0.7925,102.120762855
318,318,0.795,102.120762855
319,319,0.7975,102.180695079
320,320,0.8,102.180695079
321,321,0.8025,102.180695079
322,322,0.805,102.180695079
323,323,0.8075,102.180695079
324,324,0.81,102.180695079
325,325,0.8125,102.180695079
326,326,0.815,102.180695079
327,327,0.8175,102.120762855
328,328,0.82,102.180695079
329,329,0.8225,102.180695079
330,330,0.825,102.180695079
331,331,0.8275,102.120762855
332,332,0.83,102.180695079
333,333,0.8325,102.180695079
334,334,0.835,102.180695079
335,335,0.8375,102.180695079
336,336,0.84,102.180695079
337,337,0.8425,102.120762855
338,338,0.845,102.120762855
339,339,0.8475,102.180695079
340,340,0.85,102.180695079
341,341,0.8525,102.180695079
342,342,0.855,102.180695079
343,343,0.8575,102.180695079
344,344,0.86,102.180695079
345,345,0.8625,102.180695079
346,346,0.865,102.120762855
347,347,0.8675,102.180695079
348,348,0.87,102.180695079
349,349,0.8725,102.180695079
350,350,0.875,102.120762855
351,351,0.8775,102.180695079
352,352,0.88,102.180695079
353,353,0.8825,102.120762855
354,354,0.885,102.180695079
355,355,0.8875,102.180695079
356,356,0.89,102.180695079
357,357,0.8925,102.180695079
358,358,0.895,102.120762855
359,359,0.8975,102.120762855
360,360,0.9,102.180695079
361,361,0.9025,102.180695079
362,362,0.905,102.180695079
363,363,0.9075,102.180695079
364,364,0.91,102.180695079
365,365,0.9125,102.180695079
366,366,0.915,102.180695079
367,367,0.9175,102.180695079
368,368,0.92,102.180695079
369,369,0.9225,102.180695079
370,370,0.925,102.180695079
371,371,0.9275,102.120762855
372,372,0.93,102.180695079
373,373,0.9325,102.180695079
374,374,0.935,102.180695079
375,375,0.9375,102.120762855
376,376,0.94,102.180695079
377,377,0.9425,102.120762855
378,378,0.945,102.180695079
379,379,0.9475,102.180695079
380,380,0.95,102.180695079
381,381,0.9525,102.120762855
382,382,0.955,102.180695079
383,383,0.9575,102.180695079
384,384,0.96,102.120762855
385,385,0.9625,102.180695079
386,386,0.965,102.180695079
387,387,0.9675,102.180695079
388,388,0.97,102.120762855
389,389,0.9725,102.180695079
390,390,0.975,102.180695079
391,391,0.9775,102.180695079
392,392,0.98,102.180695079
393,393,0.9825,102.120762855
394,394,0.985,102.180695079
395,395,0.9875,102.180695079
396,396,0.99,102.180695079
397,397,0.9925,102.180695079
398,398,0.995,102.180695079
399,399,0.9975,102.120762855
400,400,1.0,102.180695079
401,401,1.0025,102.180695079
402,402,1.005,102.120762855
403,403,1.0075,102.120762855
404,404,1.01,102.120762855
405,405,1.0125,102.180695079
406,406,1.015,102.180695079
407,407,1.0175,102.120762855
408,408,1.02,102.180695079
409,409,1.0225,102.180695079
410,410,1.025,102.180695079
411,411,1.0275,102.180695079
412,412,1.03,102.180695079
413,413,1.0325,102.180695079
414,414,1.035,102.180695079
415,415,1.0375,102.180695079
416,416,1.04,102.180695079
417,417,1.0425,102.120762855
418,418,1.045,102.180695079
419,419,1.0475,102.120762855
420,420,1.05,102.120762855
421,421,1.0525,102.180695079
422,422,1.055,102.180695079
423,423,1.0575,102.180695079
424,424,1.06,102.180695079
425,425,1.0625,102.180695079
426,426,1.065,102.180695079
427,427,1.0675,102.120762855
428,428,1.07,102.180695079
429,429,1.0725,102.180695079
430,430,1.075,102.180695079
431,431,1.0775,102.180695079
432,432,1.08,102.180695079
433,433,1.0825,102.180695079
434,434,1.085,102.180695079
435,435,1.0875,102.180695079
436,436,1.09,102.180695079
437,437,1.0925,102.120762855
438,438,1.095,102.180695079
439,439,1.0975,102.180695079
440,440,1.1,102.120762855
441,441,1.1025,102.180695079
442,442,1.105,102.180695079
443,443,1.1075,102.180695079
444,444,1.11,102.180695079
445,445,1.1125,102.180695079
446,446,1.115,102.180695079
447,447,1.1175,102.120762855
448,448,1.12,102.180695079
449,449,1.1225,102.180695079
450,450,1.125,102.180695079
451,451,1.1275,102.180695079
452,452,1.13,102.180695079
453,453,1.1325,102.180695079
454,454,1.135,102.180695079
455,455,1.1375,102.180695079
456,456,1.14,102.180695079
457,457,1.1425,102.180695079
458,458,1.145,102.180695079
459,459,1.1475,102.120762855
460,460,1.15,102.180695079
461,461,1.1525,102.180695079
462,462,1.155,102.180695079
463,463,1.1575,102.180695079
464,464,1.16,102.180695079
465,465,1.1625,102.180695079
466,466,1.165,102.180695079
467,467,1.1675,102.180695079
468,468,1.17,102.180695079
469,469,1.1725,102.180695079
470,470,1.175,102.180695079
471,471,1.1775,102.120762855
472,472,1.18,102.180695079
473,473,1.1825,102.120762855
474,474,1.185,102.180695079
475,475,1.1875,102.180695079
476,476,1.19,102.180695079
477,477,1.1925,102.180695079
478,478,1.195,102.180695079
479,479,1.1975,102.180695079
480,480,1.2,102.180695079
481,481,1.2025,102.180695079
482,482,1.205,102.180695079
483,483,1.2075,102.180695079
484,484,1.21,102.180695079
485,485,1.2125,102.120762855
486,486,1.215,102.180695079
487,487,1.2175,102.180695079
488,488,1.22,102.180695079
489,489,1.2225,102.120762855
490,490,1.225,102.180695079
491,491,1.2275,102.180695079
492,492,1.23,102.180695079
493,493,1.2325,102.120762855
494,494,1.235,102.180695079
495,495,1.2375,102.180695079
496,496,1.24,102.120762855
497,497,1.2425,102.180695079
498,498,1.245,102.180695079
499,499,1.2475,102.180695079
500,500,1.25,102.180695079
501,501,1.2525,102.180695079
502,502,1.255,102.180695079
503,503,1.2575,102.180695079
504,504,1.26,102.120762855
505,505,1.2625,102.180695079
506,506,1.265,102.180695079
507,507,1.2675,102.180695079
508,508,1.27,102.180695079
509,509,1.2725,102.120762855
510,510,1.275,102.120762855
511,511,1.2775,102.180695079
512,512,1.28,102.180695079
513,513,1.2825,102.180695079
514,514,1.285,102.120762855
515,515,1.2875,102.180695079
516,516,1.29,102.180695079
517,517,1.2925,102.180695079
518,518,1.295,102.180695079
519,519,1.2975,102.180695079
520,520,1.3,102.180695079
521,521,1.3025,102.180695079
522,522,1.305,102.180695079
523,523,1.3075,102.180695079
524,524,1.31,102.180695079
525,525,1.3125,102.180695079
526,526,1.315,102.180695079
527,527,1.3175,102.180695079
528,528,1.32,102.180695079
529,529,1.3225,102.120762855
530,530,1.325,102.180695079
531,531,1.3275,102.180695079
532,532,1.33,102.180695079
533,533,1.3325,102.180695079
534,534,1.335,102.180695079
535,535,1.3375,102.180695079
536,536,1.34,102.180695079
537,537,1.3425,102.180695079
538,538,1.345,102.180695079
539,539,1.3475,102.120762855
540,540,1.35,102.180695079
541,541,1.3525,102.180695079
542,542,1.355,102.180695079
543,543,1.3575,102.180695079
544,544,1.36,102.120762855
545,545,1.3625,102.180695079
546,546,1.365,102.180695079
547,547,1.3675,102.180695079
548,548,1.37,102.180695079
549,549,1.3725,102.180695079
550,550,1.375,102.120762855
551,551,1.3775,102.180695079
552,552,1.38,102.180695079
553,553,1.3825,102.180695079
554,554,1.385,102.180695079
555,555,1.3875,102.180695079
556,556,1.39,102.180695079
557,557,1.3925,102.180695079
558,558,1.395,102.180695079
559,559,1.3975,102.180695079
560,560,1.4,102.180695079
561,561,1.4025,102.180695079
562,562,1.405,102.180695079
563,563,1.4075,102.180695079
564,564,1.41,102.180695079
565,565,1.4125,102.120762855
566,566,1.415,102.180695079
567,567,1.4175,102.180695079
568,568,1.42,102.120762855
569,569,1.4225,102.180695079
570,570,1.425,102.180695079
571,571,1.4275,102.180695079
572,572,1.43,102.180695079
573,573,1.4325,102.180695079
574,574,1.435,102.180695079
575,575,1.4375,102.180695079
576,576,1.44,102.180695079
577,577,1.4425,102.180695079
578,578,1.445,102.180695079
579,579,1.4475,102.180695079
580,580,1.45,102.120762855
581,581,1.4525,102.180695079
582,582,1.455,102.180695079
583,583,1.4575,102.180695079
584,584,1.46,102.180695079
585,585,1.4625,102.180695079
586,586,1.465,102.180695079
587,587,1.4675,102.180695079
588,588,1.47,102.180695079
589,589,1.4725,102.180695079
590,590,1.475,102.120762855
591,591,1.4775,102.180695079
592,592,1.48,102.180695079
593,593,1.4825,102.180695079
