"Latest: Time (s)","Latest: Pressure (kPa)"
1.7425,206.631323118
1.745,206.56764513
1.7475,206.507712907
1.75,206.507712907
1.7525,206.44403492
1.755,206.384102696
1.7575,206.324170473
1.76,206.324170473
1.7625,206.260492486
1.765,206.200560262
1.7675,206.140628039
1.77,206.076950052
1.7725,206.017017828
1.775,206.017017828
1.7775,205.957085605
1.78,205.893407618
1.7825,205.833475394
1.785,205.833475394
1.7875,205.773543171
1.79,205.709865183
1.7925,205.64993296
1.795,205.590000737
1.7975,205.590000737
1.8,205.526322749
1.8025,205.526322749
1.805,205.466390526
1.8075,205.402712539
1.81,205.342780315
1.8125,205.282848092
1.815,205.282848092
1.8175,205.282848092
1.82,205.219170105
1.8225,205.159237881
1.825,205.099305658
1.8275,205.035627671
1.83,205.035627671
1.8325,204.975695447
1.835,204.975695447
1.8375,204.915763224
1.84,204.852085236
1.8425,204.852085236
1.845,204.852085236
1.8475,204.792153013
1.85,204.73222079
1.8525,204.668542802
1.855,204.608610579
1.8575,204.608610579
1.86,204.548678356
1.8625,204.548678356
1.865,204.425068145
1.8675,204.425068145
1.87,204.425068145
1.8725,204.361390158
1.875,204.301457934
1.8775,204.301457934
1.88,204.301457934
1.8825,204.241525711
1.885,204.241525711
1.8875,204.177847724
1.89,204.1179155
1.8925,204.057983277
1.895,204.057983277
1.8975,204.057983277
1.9,203.99430529
1.9025,203.874440843
1.905,203.934373066
1.9075,203.874440843
1.91,203.810762855
1.9125,203.810762855
1.915,203.810762855
1.9175,203.750830632
1.92,203.690898409
1.9225,203.627220421
1.925,203.627220421
1.9275,203.627220421
1.93,203.567288198
1.9325,203.567288198
1.935,203.567288198
1.9375,203.443677987
1.94,203.443677987
1.9425,203.443677987
1.945,203.383745764
1.9475,203.320067777
1.95,203.320067777
1.9525,203.320067777
1.955,203.320067777
1.9575,203.260135553
1.96,203.260135553
1.9625,203.260135553
1.965,203.136525343
1.9675,203.076593119
1.97,203.076593119
1.9725,203.076593119
1.975,203.076593119
1.9775,202.952982909
1.98,202.952982909
1.9825,202.952982909
1.985,202.893050685
1.9875,202.893050685
1.99,202.833118462
1.9925,202.833118462
1.995,202.769440474
1.9975,202.769440474
2,202.769440474
2.0025,202.769440474
2.005,202.709508251
2.0075,202.709508251
2.01,202.649576028
2.0125,202.649576028
2.015,202.58589804
2.0175,202.58589804
2.02,202.58589804
2.0225,202.58589804
2.025,202.525965817
2.0275,202.46228783
2.03,202.46228783
2.0325,202.402355606
2.035,202.402355606
2.0375,202.402355606
2.04,202.402355606
2.0425,202.342423383
2.045,202.342423383
2.0475,202.278745396
2.05,202.278745396
2.0525,202.278745396
2.055,202.278745396
2.0575,202.218813172
2.06,202.158880949
2.0625,202.158880949
2.065,202.158880949
2.0675,202.095202962
2.07,202.095202962
2.0725,202.095202962
2.075,202.035270738
2.0775,202.035270738
2.08,201.975338515
2.0825,201.975338515
2.085,201.975338515
2.0875,201.975338515
2.09,201.975338515
2.0925,201.911660527
2.095,201.911660527
2.0975,201.911660527
2.1,201.851728304
2.1025,201.851728304
2.105,201.791796081
2.1075,201.791796081
2.11,201.791796081
2.1125,201.728118093
2.115,201.66818587
2.1175,201.728118093
2.12,201.66818587
2.1225,201.66818587
2.125,201.66818587
2.1275,201.66818587
2.13,201.66818587
2.1325,201.604507883
2.135,201.604507883
2.1375,201.604507883
2.14,201.544575659
2.1425,201.484643436
2.145,201.544575659
2.1475,201.484643436
2.15,201.420965449
2.1525,201.420965449
2.155,201.420965449
2.1575,201.420965449
2.16,201.420965449
2.1625,201.361033225
2.165,201.361033225
2.1675,201.361033225
2.17,201.361033225
2.1725,201.361033225
2.175,201.361033225
2.1775,201.301101002
2.18,201.301101002
2.1825,201.301101002
2.185,201.237423015
2.1875,201.301101002
2.19,201.237423015
2.1925,201.177490791
2.195,201.237423015
2.1975,201.177490791
2.2,201.177490791
2.2025,201.177490791
2.205,201.117558568
2.2075,201.117558568
2.21,201.117558568
2.2125,201.117558568
2.215,201.117558568
2.2175,201.117558568
2.22,201.053880581
2.2225,201.053880581
2.225,200.993948357
2.2275,200.993948357
2.23,200.993948357
2.2325,200.993948357
2.235,200.934016134
2.2375,200.934016134
2.24,200.934016134
2.2425,200.934016134
2.245,200.934016134
2.2475,200.934016134
2.25,200.870338146
2.2525,200.934016134
2.255,200.934016134
2.2575,200.870338146
2.26,200.870338146
2.2625,200.870338146
2.265,200.870338146
2.2675,200.870338146
2.27,200.870338146
2.2725,200.870338146
2.275,200.870338146
2.2775,200.870338146
2.28,200.810405923
2.2825,200.870338146
2.285,200.810405923
2.2875,200.810405923
2.29,200.810405923
2.2925,200.810405923
2.295,200.810405923
2.2975,200.810405923
2.3,200.810405923
2.3025,200.810405923
2.305,200.810405923
2.3075,200.7504737
2.31,200.810405923
2.3125,200.7504737
2.315,200.810405923
2.3175,200.810405923
2.32,200.7504737
2.3225,200.7504737
2.325,200.7504737
2.3275,200.686795712
2.33,200.686795712
2.3325,200.7504737
2.335,200.686795712
2.3375,200.686795712
2.34,200.686795712
2.3425,200.686795712
2.345,200.686795712
2.3475,200.686795712
2.35,200.626863489
2.3525,200.626863489
2.355,200.626863489
2.3575,200.626863489
2.36,200.626863489
2.3625,200.626863489
2.365,200.626863489
2.3675,200.626863489
2.37,200.563185502
2.3725,200.563185502
2.375,200.563185502
2.3775,200.503253278
2.38,200.503253278
2.3825,200.503253278
2.385,200.563185502
2.3875,200.563185502
2.39,200.503253278
2.3925,200.503253278
2.395,200.503253278
2.3975,200.503253278
2.4,200.443321055
2.4025,200.443321055
2.405,200.443321055
2.4075,200.443321055
2.41,200.443321055
2.4125,200.443321055
2.415,200.443321055
2.4175,200.379643068
2.42,200.443321055
2.4225,200.443321055
2.425,200.379643068
2.4275,200.379643068
2.43,200.379643068
2.4325,200.379643068
2.435,200.379643068
2.4375,200.379643068
2.44,200.319710844
2.4425,200.379643068
2.445,200.319710844
2.4475,200.319710844
2.45,200.319710844
2.4525,200.319710844
2.455,200.319710844
2.4575,200.319710844
2.46,200.319710844
2.4625,200.319710844
2.465,200.319710844
2.4675,200.259778621
2.47,200.319710844
2.4725,200.259778621
2.475,200.259778621
2.4775,200.259778621
2.48,200.196100634
2.4825,200.196100634
2.485,200.196100634
2.4875,200.196100634
2.49,200.13616841
2.4925,200.196100634
2.495,200.196100634
2.4975,200.196100634
2.5,200.196100634
2.5025,200.196100634
