,time,x,v,a
443,22.2,0.4405577,0.182582277778,0.667453518518
444,22.25,0.45299209999999995,0.212612888889,0.552160277778
445,22.3,0.4623179,0.23362472222199998,0.514741944444
446,22.35,0.4756157999999999,0.265670166667,0.44342324074100004
447,22.4,0.4896045,0.28322800000000004,0.277386049383
448,22.45,0.5042840000000001,0.293014333333,0.11241490740700001
449,22.5,0.5193089,0.29311027777800003,-0.033687160493799995
450,22.55,0.5338156999999999,0.287353611111,-0.14802095679000002
451,22.6,0.5478044,0.281980722222,-0.332607407407
452,22.65,0.5628293000000001,0.259721611111,-0.61617654321
453,22.7,0.5747456,0.21683444444400002,-0.8350364814810001
454,22.75,0.5844168000000001,0.1718365,-0.948570740741
455,22.8,0.5925336999999999,0.116860333333,-0.94185462963
456,22.85,0.5956423000000001,0.07061511111110001,-0.8040677469140001
457,22.9,0.5985782,0.0416398888889,-0.745435030864
458,22.95,0.6006505999999999,0.0009594444444450002,-0.775337716049
459,23.0,0.5987509,-0.0408723333333,-0.748633179012
460,23.05,0.5956423000000001,-0.0698475555556,-0.797138425926
461,23.1,0.5927064000000001,-0.114749555556,-0.934498888889
462,23.15,0.5847621999999999,-0.17049327777800002,-0.93753712963
463,23.2,0.5749183000000001,-0.213956111111,-0.813875401235
464,23.25,0.5635201,-0.256075722222,-0.586860185185
465,23.3,0.5483225,-0.276895666667,-0.28442197530900004
466,23.35,0.5348519,-0.278142944444,-0.09674398148150001
467,23.4,0.5208632000000001,-0.281692888889,-0.00309154320988
468,23.45,0.5065291000000001,-0.2806375,0.11358756172800001
469,23.5,0.49236769999999996,-0.27123494444400004,0.24886922839499998
470,23.55,0.4792425,-0.25617166666700003,0.40110108024700003
471,23.6,0.46646270000000006,-0.23247338888900002,0.565325987654
472,23.65,0.45540990000000003,-0.198029333333,0.685096635802
473,23.7,0.4462568,-0.156389444444,0.6801928086419999
474,23.75,0.4409031,-0.130868222222,0.6870688271600001
475,23.8,0.4327862,-0.0987268333333,0.8704293209880001
476,23.85,0.4293322,-0.037514277777800004,0.951289166667
477,23.9,0.43036840000000004,0.0037418333333300003,0.895481481481
478,23.95,0.4295049,0.0481641111111,0.868563734568
479,24.0,0.4346859,0.0966160555556,0.7330155555560001
480,24.05,0.440385,0.12386427777799999,0.576306296296
481,24.1,0.4474657,0.144684222222,0.583235617284
482,24.15,0.45402829999999994,0.177785055556,0.664788395062
483,24.2,0.4647357,0.21961683333299997,0.601731574074
484,24.25,0.4769974,0.24369888888900001,0.42263527777800003
485,24.3,0.48943180000000003,0.259337833333,0.270403425926
486,24.35,0.5030751,0.269795777778,0.12883206790100002
487,24.4,0.5167184,0.27190655555599996,-0.00575666666666
488,24.45,0.530189,0.272770055556,-0.19471391975299998
489,24.5,0.5452139,0.251182555556,-0.36528182098800005
490,24.55,0.5550578,0.23103422222199999,-0.457175277778
491,24.6,0.5680103,0.211653444444,-0.6433075
492,24.65,0.5775088,0.168670333333,-0.830932191358
493,24.7,0.585453,0.11705222222200001,-0.810943765432
494,24.75,0.5883889,0.0784825555556,-0.6399494444439999
495,24.8,0.5918429000000001,0.0645706111111,-0.669105895062
496,24.85,0.5963331000000001,0.0242739444444,-0.9202138271600001
497,24.9,0.5952969,-0.0347318888889,-1.0436623456799998
498,24.95,0.5927064000000001,-0.0924904444444,-0.933486141975
499,25.0,0.5851076,-0.132691166667,-0.714306388889
500,25.05,0.5787177,-0.157444833333,-0.594695648148
501,25.1,0.56991,-0.188914611111,-0.539261080247
502,25.15,0.5595479999999999,-0.21433988888900002,-0.44416947530900003
503,25.2,0.5481498,-0.23362472222199998,-0.339483425926
504,25.25,0.5360608,-0.248304222222,-0.22525623456799998
505,25.3,0.5231083,-0.257227055556,-0.09050759259260001
506,25.35,0.5099831,-0.257898666667,0.055274660493800004
507,25.4,0.49703059999999993,-0.25127849999999996,0.1942875
508,25.45,0.48459620000000003,-0.23794222222199998,0.32295966049400004
509,25.5,0.4730253,-0.21875333333299998,0.444862407407
510,25.55,0.4624906,-0.193615888889,0.564899567901
511,25.6,0.4533375,-0.1614745,0.670065339506
512,25.65,0.4462568,-0.125495333333,0.750072345679
513,25.7,0.4407304,-0.0873094444444,0.827467530864
514,25.75,0.436931,-0.0392412777778,0.831678425926
515,25.8,0.4372764,0.0007675555555560001,0.742983117284
516,25.85,0.4374491,0.032813,0.6785404320990001
517,25.9,0.44021229999999995,0.0679286666667,0.628329506173
518,25.95,0.4445298,0.0976714444444,0.564899567901
519,26.0,0.4505742999999999,0.118875166667,0.598160308642
520,26.05,0.4555826,0.153703,0.682644722222
521,26.1,0.4654265,0.196398277778,0.59949287037
522,26.15,0.47630659999999997,0.21980872222199999,0.396090648148
523,26.2,0.48787749999999996,0.23256933333299998,0.235703518519
524,26.25,0.49962109999999993,0.240724611111,0.123501820988
525,26.3,0.5120555,0.245234,0.0181761419753
526,26.35,0.5244899000000001,0.24321916666700003,-0.104526141975
527,26.4,0.5365789000000001,0.234488222222,-0.233304907407
528,26.45,0.5478044,0.224318111111,-0.422795185185
529,26.5,0.5604115,0.190353777778,-0.568524135802
530,26.55,0.5668014,0.155525944444,-0.517780185185
531,26.6,0.5744001999999999,0.144492333333,-0.561008487654
532,26.65,0.5826898,0.10899288888900001,-0.759773395062
533,26.7,0.5859711,0.061212555555600005,-0.843564876543
534,26.75,0.5882162,0.020724,-0.8551315123459999
535,26.8,0.5882162,-0.023314500000000002,-0.8585961728389999
536,26.85,0.5857984,-0.06505033333330001,-0.839673796296
537,26.9,0.5821717,-0.11187122222200001,-0.737119845679
538,26.95,0.5738821,-0.14525988888900002,-0.531798734568
539,27.0,0.5662833,-0.155238111111,-0.485958611111
540,27.05,0.5598934,-0.188434888889,-0.52550904321
541,27.1,0.547459,-0.220096555556,-0.363682746914
542,27.15,0.5364061999999999,-0.22652483333299997,-0.165504166667
543,27.2,0.5248353,-0.23026666666700002,-0.0637497530864
544,27.25,0.5134371,-0.23199366666700003,0.013592129629600002
545,27.3,0.5015208,-0.23093827777800002,0.119131018519
546,27.35,0.4899499,-0.221439777778,0.253613148148
547,27.4,0.47906980000000005,-0.204841388889,0.385803271605
548,27.45,0.4693986,-0.18334983333299998,0.5236967592589999
549,27.5,0.4604182,-0.1545665,0.675502191358
550,27.55,0.45299209999999995,-0.109472611111,0.703166172839
551,27.6,0.45022890000000004,-0.0766596111111,0.588938981481
552,27.65,0.44591140000000007,-0.054976166666699994,0.543045555556
553,27.7,0.4441844,-0.0254252777778,0.5686307407410001
554,27.75,0.44383900000000004,-0.00115133333333,0.6579123765429999
555,27.8,0.44332089999999996,0.0368426666667,0.790582222222
556,27.85,0.4466022,0.0891323888889,0.7245404629629999
557,27.9,0.45385559999999997,0.11484549999999999,0.555465030864
558,27.95,0.45834579999999997,0.134706,0.536969074074
559,28.0,0.46629,0.169150055556,0.511010771605
560,28.05,0.47596120000000003,0.191601055556,0.393425524691
561,28.1,0.48580509999999993,0.20724,0.284208765432
562,28.15,0.4966852,0.21971277777800002,0.17392595679
563,28.2,0.5080834,0.225181611111,0.0602317901234
564,28.25,0.5194816,0.225181611111,-0.052076512345699995
565,28.3,0.5307071,0.220000611111,-0.174299074074
566,28.35,0.5414145,0.21251694444400002,-0.361870462963
567,28.4,0.5533308000000001,0.18171877777800002,-0.501309722222
568,28.45,0.5595479999999999,0.15034494444399998,-0.44347654321
569,28.5,0.5668014,0.142861277778,-0.47673728395099996
570,28.55,0.575091,0.113790111111,-0.697302901235
571,28.6,0.5790630999999999,0.06764083333330001,-0.8281604629629999
572,28.65,0.5814809,0.0256171666667,-0.8511338271600001
573,28.7,0.5819989999999999,-0.0222591111111,-0.7706470987649999
574,28.75,0.5781996,-0.0514262222222,-0.6775809876540001
575,28.8,0.5771634,-0.0844311111111,-0.671237993827
576,28.85,0.5702554,-0.123768333333,-0.580517191358
577,28.9,0.5636928000000001,-0.144300444444,-0.462878641975
578,28.95,0.5559213000000001,-0.165408222222,-0.416025771605
579,29.0,0.5472863,-0.186420055556,-0.36075111111100006
580,29.05,0.537097,-0.203881944444,-0.26480666666700003
581,29.1,0.5265623,-0.21386016666700003,-0.143810061728
582,29.15,0.5155095000000001,-0.21817766666700003,-0.0209478703704
583,29.2,0.5044567,-0.215683111111,0.09759682098760002
584,29.25,0.49374929999999995,-0.20781566666700002,0.204947993827
585,29.3,0.48356000000000005,-0.195918555556,0.319601604938
586,29.35,0.47371610000000003,-0.1752905,0.42188904321000004
587,29.4,0.4659446,-0.15149627777799998,0.486491635802
588,29.45,0.4586912,-0.128181777778,0.573907685185
589,29.5,0.45264670000000007,-0.094985,0.663509135802
590,29.55,0.44902,-0.0589098888889,0.6887745061730001
591,29.6,0.4466022,-0.0206280555556,0.616283148148
592,29.65,0.44781109999999996,0.0029742777777800006,0.5401139197529999
593,29.7,0.44694759999999994,0.0256171666667,0.5982669135800001
594,29.75,0.44953809999999994,0.0623638888889,0.6676667283950001
595,29.8,0.4533375,0.0971917222222,0.65258212963
596,29.85,0.45938199999999996,0.13000472222200002,0.580463888889
597,29.9,0.46663540000000003,0.155909722222,0.48222743827200004
598,29.95,0.4750977,0.177976944444,0.382445216049
599,30.0,0.48459620000000003,0.195151,0.264486851852
600,30.05,0.4949582,0.204745444444,0.142424197531
601,30.1,0.5053202,0.20819944444400001,0.04205564814809999
602,30.15,0.5158549,0.208295388889,-0.0400834567901
603,30.2,0.5263896,0.203881944444,-0.11662580246899999
604,30.25,0.5364061999999999,0.19553477777800002,-0.19311484567899997
605,30.3,0.5455593000000001,0.189490277778,-0.358405802469
606,30.35,0.5562666999999999,0.165792,-0.610579783951
607,30.4,0.5635201,0.11762788888900001,-0.664521882716
608,30.45,0.5668014,0.0896121111111,-0.543845092593
609,30.5,0.5719824,0.0693678333333,-0.5163410185180001
610,30.55,0.5740548000000001,0.0453817222222,-0.620334135802
611,30.6,0.5773361,0.006140444444439999,-0.7216088271600001
612,30.65,0.5744001999999999,-0.031086000000000003,-0.7388255246909999
613,30.7,0.5742275,-0.06783272222219999,-0.728165030864
614,30.75,0.5680103,-0.109472611111,-0.609247222222
615,30.8,0.5621385,-0.130196611111,-0.463784783951
616,30.85,0.5550578,-0.150824666667,-0.400994475309
617,30.9,0.5471136,-0.17001355555599998,-0.34726558642
618,30.95,0.5379605,-0.187187611111,-0.269124166667
619,31.0,0.5281166,-0.19812527777800001,-0.16406500000000002
620,31.05,0.5179273,-0.20349816666700002,-0.0568204320988
621,31.1,0.5075653,-0.20359411111099998,0.0481854320988
622,31.15,0.49737600000000004,-0.198605,0.151805432099
623,31.2,0.48753209999999997,-0.188818666667,0.26176842592599997
624,31.25,0.47820630000000003,-0.17241216666700002,0.370345555556
625,31.3,0.47008940000000005,-0.1511125,0.469861265432
626,31.35,0.46300870000000005,-0.125495333333,0.561808024691
627,31.4,0.4573095999999999,-0.09565661111109999,0.650556635802
628,31.45,0.45281940000000004,-0.0545923888889,0.629821975309
629,31.5,0.45281940000000004,-0.0301265555556,0.554079166667
630,31.55,0.44953809999999994,-0.00249455555556,0.535636512346
631,31.6,0.45264670000000007,0.0237942222222,0.523110432099
632,31.65,0.4523013,0.04461416666669999,0.601038641975
633,31.7,0.455928,0.0855824444444,0.6413353086420001
634,31.75,0.4614544,0.115900888889,0.551467345679
635,31.8,0.46784430000000005,0.140462666667,0.45125870370399995
636,31.85,0.4756157999999999,0.160323166667,0.35462132716
637,31.9,0.4840781,0.175386444444,0.270243518519
638,31.95,0.4932312,0.18766733333299998,0.179309506173
639,32.0,0.5030751,0.1942875,0.07030595679019999
640,32.05,0.512919,0.194767222222,-0.0403499691357
641,32.1,0.5227629,0.189778111111,-0.140825123457
642,32.15,0.5320887,0.179799888889,-0.21875333333299998
643,32.2,0.5408963999999999,0.166943333333,-0.28186345679
644,32.25,0.5488406,0.150920611111,-0.33905700617299994
645,32.3,0.5557486,0.137584333333,-0.473379228395
646,32.35,0.5636928000000001,0.103907833333,-0.6120189506170001
647,32.4,0.5659379,0.0713826666667,-0.6488509567899999
648,32.45,0.5709462,0.037514277777800004,-0.640109351852
649,32.5,0.56991,0.00134322222222,-0.533824228395
650,32.55,0.5695646,-0.0107457777778,-0.517620277778
651,32.6,0.56991,-0.040296666666699996,-0.666707283951
652,32.65,0.5666287,-0.0875972777778,-0.652155709877
653,32.7,0.5595479999999999,-0.110240166667,-0.545017746914
654,32.75,0.5559213000000001,-0.136145166667,-0.508398950617
655,32.8,0.5464228,-0.166847388889,-0.372744166667
656,32.85,0.5379605,-0.175194555556,-0.212996666667
657,32.9,0.5289801,-0.18315794444400002,-0.132136820988
658,32.95,0.5196543,-0.188338944444,-0.05831290123459999
659,33.0,0.5099831,-0.19025783333299998,0.029796080246900003
660,33.05,0.5003119,-0.18546061111099998,0.12398154320999999
661,33.1,0.4913315,-0.177113444444,0.208679166667
662,33.15,0.4825238,-0.16560011111099998,0.308941111111
663,33.2,0.4744069,-0.146507166667,0.409895987654
664,33.25,0.46767159999999997,-0.122712944444,0.475031604938
665,33.3,0.46214520000000003,-0.0978633333333,0.515274969136
666,33.35,0.4578277,-0.0713826666667,0.552799907407
667,33.4,0.45489179999999996,-0.0425033888889,0.585047901235
668,33.45,0.4535102,-0.012089,0.600239104938
669,33.5,0.45368290000000006,0.018421333333299997,0.596134814815
670,33.55,0.45540990000000003,0.0478762777778,0.58222287037
671,33.6,0.45851850000000005,0.0764677222222,0.564046728395
672,33.65,0.46300870000000005,0.105059166667,0.522630709877
673,33.7,0.4690532,0.131635777778,0.426952777778
674,33.75,0.476652,0.148905777778,0.31011376543200003
675,33.8,0.4842508,0.159555611111,0.243165864198
676,33.85,0.49236769999999996,0.172508111111,0.18933037037
677,33.9,0.5016935,0.18104716666700002,0.0937057407407
678,33.95,0.5108465999999999,0.182102555556,-0.00970104938272
679,34.0,0.5199997000000001,0.179416111111,-0.103300185185
680,34.05,0.5289801,0.171644611111,-0.18506617284000001
681,34.1,0.5374424,0.15936372222200001,-0.241833302469
682,34.15,0.5448685000000001,0.145739611111,-0.27877191358000003
683,34.2,0.5516038000000001,0.137488388889,-0.419010709877
684,34.25,0.5598934,0.105730777778,-0.590484753086
685,34.3,0.5621385,0.07224616666669999,-0.639949444445
686,34.35,0.5671468000000001,0.038857499999999996,-0.62235962963
687,34.4,0.5661106,0.004317499999999999,-0.503868240741
