Column1,Column2,Column3
"Light Intensity, Ch A vs Angular Position, Ch 1&2, Run #10",,"Light Intensity, Ch A vs Angular Position, Ch 1&2, Run #10,"
"Angular Position, Ch 1&2 ( deg )","Light Intensity, Ch A ( % max )","Angular Position, Ch 1&2 ( deg ),Light Intensity, Ch A ( % max )"
-1631.0,0.0,"-1631.0,0.0"
-1637.8,0.0,"-1637.8,0.0"
-1643.5,0.0,"-1643.5,0.0"
-1652.3,0.0,"-1652.3,0.0"
-1661.5,0.0,"-1661.5,0.0"
-1671.8,0.0,"-1671.8,0.0"
-1685.5,0.0,"-1685.5,0.0"
-1700.3,0.0,"-1700.3,0.0"
-1714.8,0.0,"-1714.8,0.0"
-1725.8,0.0,"-1725.8,0.0"
-1736.0,0.0,"-1736.0,0.0"
-1747.5,0.0,"-1747.5,0.0"
-1758.3,0.0,"-1758.3,0.0"
-1770.8,0.0,"-1770.8,0.0"
-1784.0,0.0,"-1784.0,0.0"
-1797.3,0.0,"-1797.3,0.0"
-1809.0,0.0,"-1809.0,0.0"
-1821.8,0.0,"-1821.8,0.0"
-1830.0,0.0,"-1830.0,0.0"
-1837.5,0.0,"-1837.5,0.0"
-1845.2,0.0,"-1845.2,0.0"
-1853.2,0.0,"-1853.2,0.0"
-1862.0,0.0,"-1862.0,0.0"
-1873.3,0.0,"-1873.3,0.0"
-1883.8,0.0,"-1883.8,0.0"
-1897.0,0.0,"-1897.0,0.0"
-1908.0,0.0,"-1908.0,0.0"
-1920.8,0.0,"-1920.8,0.0"
-1930.5,0.0,"-1930.5,0.0"
-1935.5,0.0,"-1935.5,0.0"
-1942.0,0.0,"-1942.0,0.0"
-1952.0,0.0,"-1952.0,0.0"
-1964.5,0.0,"-1964.5,0.0"
-1983.8,0.0,"-1983.8,0.0"
-2004.2,0.0,"-2004.2,0.0"
-2018.5,0.0,"-2018.5,0.0"
-2024.7,0.0,"-2024.7,0.0"
-2028.5,0.1,"-2028.5,0.1"
-2032.7,0.0,"-2032.7,0.0"
-2038.3,0.1,"-2038.3,0.1"
-2046.0,0.0,"-2046.0,0.0"
-2052.0,0.0,"-2052.0,0.0"
-2058.5,0.0,"-2058.5,0.0"
-2068.0,0.1,"-2068.0,0.1"
-2079.2,0.1,"-2079.2,0.1"
-2092.0,0.1,"-2092.0,0.1"
-2104.0,0.1,"-2104.0,0.1"
-2113.0,0.1,"-2113.0,0.1"
-2121.5,0.1,"-2121.5,0.1"
-2131.5,0.1,"-2131.5,0.1"
-2140.0,0.1,"-2140.0,0.1"
-2149.7,0.1,"-2149.7,0.1"
-2158.0,0.1,"-2158.0,0.1"
-2166.5,0.1,"-2166.5,0.1"
-2171.0,0.1,"-2171.0,0.1"
-2178.7,0.1,"-2178.7,0.1"
-2186.7,0.1,"-2186.7,0.1"
-2196.2,0.1,"-2196.2,0.1"
-2207.7,0.1,"-2207.7,0.1"
-2215.3,0.1,"-2215.3,0.1"
-2222.7,0.1,"-2222.7,0.1"
-2232.0,0.1,"-2232.0,0.1"
-2245.8,0.1,"-2245.8,0.1"
-2259.0,0.0,"-2259.0,0.0"
-2270.7,0.1,"-2270.7,0.1"
-2279.0,0.1,"-2279.0,0.1"
-2287.0,0.0,"-2287.0,0.0"
-2295.7,0.0,"-2295.7,0.0"
-2306.5,0.1,"-2306.5,0.1"
-2317.5,0.0,"-2317.5,0.0"
-2328.5,0.0,"-2328.5,0.0"
-2339.5,0.1,"-2339.5,0.1"
-2347.5,0.1,"-2347.5,0.1"
-2353.8,0.0,"-2353.8,0.0"
-2361.0,0.0,"-2361.0,0.0"
-2370.2,0.0,"-2370.2,0.0"
-2377.5,0.0,"-2377.5,0.0"
-2383.5,0.1,"-2383.5,0.1"
-2387.7,0.0,"-2387.7,0.0"
-2393.7,0.0,"-2393.7,0.0"
-2403.7,0.0,"-2403.7,0.0"
-2416.7,0.1,"-2416.7,0.1"
-2427.5,0.1,"-2427.5,0.1"
-2438.5,0.0,"-2438.5,0.0"
-2453.5,0.0,"-2453.5,0.0"
-2470.7,0.0,"-2470.7,0.0"
-2488.2,0.0,"-2488.2,0.0"
-2507.2,0.0,"-2507.2,0.0"
-2522.2,0.1,"-2522.2,0.1"
-2535.0,0.0,"-2535.0,0.0"
-2542.8,0.0,"-2542.8,0.0"
-2547.2,0.0,"-2547.2,0.0"
-2551.5,0.0,"-2551.5,0.0"
-2558.0,0.0,"-2558.0,0.0"
-2564.7,0.0,"-2564.7,0.0"
-2575.0,0.1,"-2575.0,0.1"
-2587.5,0.0,"-2587.5,0.0"
-2602.3,0.0,"-2602.3,0.0"
-2611.5,0.0,"-2611.5,0.0"
-2622.5,0.1,"-2622.5,0.1"
-2632.2,0.0,"-2632.2,0.0"
-2644.5,0.0,"-2644.5,0.0"
-2655.7,0.0,"-2655.7,0.0"
-2669.5,0.1,"-2669.5,0.1"
-2682.3,0.0,"-2682.3,0.0"
-2695.5,0.1,"-2695.5,0.1"
-2709.0,0.0,"-2709.0,0.0"
-2720.5,0.0,"-2720.5,0.0"
-2731.8,0.0,"-2731.8,0.0"
-2741.5,0.0,"-2741.5,0.0"
-2751.2,0.0,"-2751.2,0.0"
-2763.0,0.1,"-2763.0,0.1"
-2772.7,0.0,"-2772.7,0.0"
-2783.0,0.0,"-2783.0,0.0"
-2791.3,0.0,"-2791.3,0.0"
-2799.8,0.0,"-2799.8,0.0"
-2810.7,0.0,"-2810.7,0.0"
-2821.0,0.0,"-2821.0,0.0"
-2828.0,0.1,"-2828.0,0.1"
-2833.5,0.0,"-2833.5,0.0"
-2844.5,0.1,"-2844.5,0.1"
-2852.5,0.1,"-2852.5,0.1"
-2861.0,0.0,"-2861.0,0.0"
-2871.5,0.1,"-2871.5,0.1"
-2881.0,0.1,"-2881.0,0.1"
-2891.5,0.1,"-2891.5,0.1"
-2899.5,0.1,"-2899.5,0.1"
-2908.0,0.1,"-2908.0,0.1"
-2917.5,0.1,"-2917.5,0.1"
-2924.5,0.1,"-2924.5,0.1"
-2932.3,0.1,"-2932.3,0.1"
-2942.3,0.1,"-2942.3,0.1"
-2955.0,0.1,"-2955.0,0.1"
-2965.5,0.1,"-2965.5,0.1"
-2975.2,0.1,"-2975.2,0.1"
-2987.3,0.1,"-2987.3,0.1"
-2997.5,0.1,"-2997.5,0.1"
-3007.7,0.1,"-3007.7,0.1"
-3019.3,0.1,"-3019.3,0.1"
-3030.7,0.1,"-3030.7,0.1"
-3043.8,0.1,"-3043.8,0.1"
-3058.8,0.1,"-3058.8,0.1"
-3068.2,0.1,"-3068.2,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.2,0.1,"-3071.2,0.1"
-3071.2,0.1,"-3071.2,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3071.0,0.1,"-3071.0,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
